thermostat,id,name,temp,setpoint,status,mode,time
EMEA_ZONE,7337783,Logeerkamer,17.64,18.0,Scheduled,Off,2026-01-03 18:36:57
EMEA_ZONE,7162110,Slp. Harvey,18.92,16.0,Scheduled,Off,2026-01-03 18:36:57
EMEA_ZONE,7072444,Slp. R&M,18.92,16.0,Scheduled,Off,2026-01-03 18:36:57
EMEA_ZONE,7073860,Woonkamer,20.29,20.5,Scheduled,Off,2026-01-03 18:36:57
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 18:36:57
EMEA_ZONE,7403695,1e overig,17.92,16.5,Scheduled,Off,2026-01-03 18:49:46
EMEA_ZONE,7403694,Badkamer,18.08,18.5,Scheduled,Off,2026-01-03 18:49:46
EMEA_ZONE,7337783,Logeerkamer,17.64,18.0,Scheduled,Off,2026-01-03 18:49:46
EMEA_ZONE,7162110,Slp. Harvey,18.89,16.0,Scheduled,Off,2026-01-03 18:49:46
EMEA_ZONE,7072444,Slp. R&M,18.89,16.0,Scheduled,Off,2026-01-03 18:49:46
EMEA_ZONE,7073860,Woonkamer,20.29,20.5,Scheduled,Off,2026-01-03 18:49:46
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 18:49:46
EMEA_ZONE,7403695,1e overig,17.87,16.5,Scheduled,Off,2026-01-03 19:10:58
EMEA_ZONE,7403694,Badkamer,18.34,16.5,Scheduled,Off,2026-01-03 19:10:58
EMEA_ZONE,7337783,Logeerkamer,17.66,18.0,Scheduled,Off,2026-01-03 19:10:58
EMEA_ZONE,7162110,Slp. Harvey,18.88,18.0,Scheduled,Off,2026-01-03 19:10:58
EMEA_ZONE,7072444,Slp. R&M,18.88,16.0,Scheduled,Off,2026-01-03 19:10:58
EMEA_ZONE,7073860,Woonkamer,20.29,20.5,Scheduled,Off,2026-01-03 19:10:58
EMEA_ZONE,7406169,Zolder,18.49,15.0,Scheduled,Off,2026-01-03 19:10:58
EMEA_ZONE,7403695,1e overig,17.87,16.5,Scheduled,Off,2026-01-03 19:27:50
EMEA_ZONE,7403694,Badkamer,18.53,16.5,Scheduled,Off,2026-01-03 19:27:50
EMEA_ZONE,7337783,Logeerkamer,17.63,18.0,Scheduled,Off,2026-01-03 19:27:50
EMEA_ZONE,7162110,Slp. Harvey,18.88,18.0,Scheduled,Off,2026-01-03 19:27:50
EMEA_ZONE,7072444,Slp. R&M,18.88,16.0,Scheduled,Off,2026-01-03 19:27:50
EMEA_ZONE,7073860,Woonkamer,20.29,20.5,Scheduled,Off,2026-01-03 19:27:50
EMEA_ZONE,7406169,Zolder,18.49,15.0,Scheduled,Off,2026-01-03 19:27:50
EMEA_ZONE,7403695,1e overig,17.87,16.5,Scheduled,Off,2026-01-03 19:44:56
EMEA_ZONE,7403694,Badkamer,18.72,16.5,Scheduled,Off,2026-01-03 19:44:56
EMEA_ZONE,7337783,Logeerkamer,17.62,18.0,Scheduled,Off,2026-01-03 19:44:56
EMEA_ZONE,7162110,Slp. Harvey,18.88,18.0,Scheduled,Off,2026-01-03 19:44:56
EMEA_ZONE,7072444,Slp. R&M,18.88,16.0,Scheduled,Off,2026-01-03 19:44:56
EMEA_ZONE,7073860,Woonkamer,20.24,20.5,Scheduled,Off,2026-01-03 19:44:56
EMEA_ZONE,7406169,Zolder,18.49,15.0,Scheduled,Off,2026-01-03 19:44:56
EMEA_ZONE,7403695,1e overig,17.87,16.5,Scheduled,Off,2026-01-03 19:56:03
EMEA_ZONE,7403694,Badkamer,18.69,16.5,Scheduled,Off,2026-01-03 19:56:03
EMEA_ZONE,7337783,Logeerkamer,17.62,18.0,Scheduled,Off,2026-01-03 19:56:03
EMEA_ZONE,7162110,Slp. Harvey,18.92,18.0,Scheduled,Off,2026-01-03 19:56:03
EMEA_ZONE,7072444,Slp. R&M,18.92,16.0,Scheduled,Off,2026-01-03 19:56:03
EMEA_ZONE,7073860,Woonkamer,20.24,20.5,Scheduled,Off,2026-01-03 19:56:03
EMEA_ZONE,7406169,Zolder,18.49,15.0,Scheduled,Off,2026-01-03 19:56:03
EMEA_ZONE,7403695,1e overig,17.82,16.5,Scheduled,Off,2026-01-03 20:07:28
EMEA_ZONE,7403694,Badkamer,18.63,16.5,Scheduled,Off,2026-01-03 20:07:28
EMEA_ZONE,7337783,Logeerkamer,17.57,18.0,Scheduled,Off,2026-01-03 20:07:28
EMEA_ZONE,7162110,Slp. Harvey,18.94,18.0,Scheduled,Off,2026-01-03 20:07:28
EMEA_ZONE,7072444,Slp. R&M,18.94,16.0,Scheduled,Off,2026-01-03 20:07:28
EMEA_ZONE,7073860,Woonkamer,20.24,20.5,Scheduled,Off,2026-01-03 20:07:28
EMEA_ZONE,7406169,Zolder,18.49,15.0,Scheduled,Off,2026-01-03 20:07:28
